PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
1573,0,0,865,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,12945,1294503,32945,LEX,"Lexington, KY",KY,21,Kentucky,52,2025,1,1,2,F
1573,0,0,912,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,14112,1411206,33195,PIE,"St. Petersburg, FL",FL,12,Florida,33,2025,1,1,2,F
1573,0,0,997,MX,22080,Breeze Aviation Group DBA  Breeze,1268,D,MX,Breeze Aviation Group DBA  Breeze,2,2,15628,1562805,35628,VRB,"Vero Beach, FL",FL,12,Florida,33,12391,1239103,31703,ISP,"Islip, NY",NY,36,New York,22,2025,1,1,2,F
1573,0,0,1050,MX,22080,Breeze Aviation Group DBA  Breeze,1268,D,MX,Breeze Aviation Group DBA  Breeze,2,2,10529,1052907,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,2025,1,1,3,F
1573,13,0,524,OH,20397,PSA Airlines Inc.,7028,D,OH,PSA Airlines Inc.,2,2,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,11986,1198603,31986,GRR,"Grand Rapids, MI",MI,26,Michigan,43,2025,1,1,2,F
1574,0,0,488,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,14193,1419306,33728,PNS,"Pensacola, FL",FL,12,Florida,33,12191,1219103,31453,HOU,"Houston, TX",TX,48,Texas,74,2025,1,1,1,F
1574,0,0,1194,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,10785,1078502,30785,BTV,"Burlington, VT",VT,50,Vermont,16,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,2025,1,1,3,F
1575,0,0,917,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,10685,1068503,30685,BMI,"Bloomington/Normal, IL",IL,17,Illinois,41,14761,1476107,34761,SFB,"Sanford, FL",FL,12,Florida,33,2025,1,1,2,F
1575,897,0,616,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,2025,1,1,2,F
1576,0,0,692,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,14082,1408203,34082,PGD,"Punta Gorda, FL",FL,12,Florida,33,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,2025,1,1,2,F
